(KEYFUNCTION),(KEYPARAMINDEX),(CONVERTRULE),(ASSISTRULE),(COMBINERULE),(CONSTRUCTASSISTBEH),(CONSTRUCTBEHAVIOR),(TYPE)
CreateDialogIndirectParam,NULL,NULL,NULL,NULL,NULL,dialog_create,4
CreateJobObject,01|02||,NULL,NULL,NULL,02|01|Handle||,job_create,4
CreateNamedPipe,00|08||,08|retValue||,NULL,NULL,NULL,namedpipe_create,4
CreatePipe,NULL,NULL,NULL,NULL,NULL,pipe_create,4
CreateWindowEx,01|12||,NULL,NULL,NULL,12|01|Handle||,window_create,4
CryptAcquireContext,NULL,NULL,NULL,NULL,NULL,crypt_used,4
CryptCreateHash,NULL,NULL,NULL,NULL,NULL,crypt_used,4
CryptDecrypt,NULL,NULL,NULL,NULL,NULL,crypt_used,4
CryptDeriveKey,NULL,NULL,NULL,NULL,NULL,crypt_used,4
CryptDestroyHash,NULL,NULL,NULL,NULL,NULL,crypt_used,4
CryptDestroyKey,NULL,NULL,NULL,NULL,NULL,crypt_used,4
CryptHashData,NULL,NULL,NULL,NULL,NULL,crypt_used,4
CryptReleaseContext,NULL,NULL,NULL,NULL,NULL,crypt_used,4
DeviceIoControl,00|01||,NULL,00|Handle||,NULL,NULL,deviceIo_control,4
EnableWindow,00|01||,01|BOOL||,00|Handle||,NULL,NULL,window_enable,4
EnumChildWindows,NULL,NULL,NULL,NULL,NULL,enum_child_windows,4
ExitWindowsEx,00|02||,00|dwShutType|02|retValueBOOL||,NULL,NULL,NULL,windows_exit,4
FindResource,00|03||,03|retValue||,00|Handle||,NULL,03|00|Handle||,resource_find,4
FindResourceEx,00|04||,04|retValue||,00|Handle||,NULL,04|00|Handle||,resource_find,4
FindWindow,00|02||,02|retValue||,NULL,NULL,02|00|Handle||,window_find,4
FindWindowEx,02|04||,04|retValue||,NULL,NULL,04|02|Handle||,window_find,4
GetClipboardData,NULL,NULL,NULL,NULL,NULL,clipboard_data_get,4
GetComputerName,NULL,NULL,NULL,NULL,NULL,computername_get,4
GetCurrentDirectory,NULL,NULL,NULL,NULL,NULL,currentdirectory_get,4
GetDesktopWindow,NULL,NULL,NULL,NULL,NULL,desktopwindow_get,4
GetHandleInformation,00||,NULL,00|Handle||,NULL,NULL,handleinformation_get,4
GetKeyboardState,NULL,NULL,NULL,NULL,NULL,keyboard_state_get,4
GetLocalTime,NULL,NULL,NULL,NULL,NULL,local_time_get,4
GetModuleBaseName,NULL,NULL,NULL,NULL,NULL,modulename_get,4
GetProcessHeap,NULL,NULL,NULL,NULL,NULL,process_heap_get,4
GetStdHandle,00|01||,00|stdHandle||,NULL,NULL,01|00|Handle||,NULL,4
GetSystemTime,NULL,NULL,NULL,NULL,NULL,system_time_get,4
